[2025-03-13 07:15:05,388][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,389][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,390][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,391][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,392][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,393][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,395][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,396][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,397][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,398][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,399][__main__][INFO] - Computed throughput reward (raw): 3.41
[2025-03-13 07:15:05,400][__main__][INFO] - Computed throughput reward (raw): 3.41
[2025-03-13 07:15:05,401][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,402][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,403][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,404][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,405][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,406][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,407][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,408][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,409][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,410][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,411][__main__][INFO] - Computed throughput reward (raw): 2.47
[2025-03-13 07:15:05,412][__main__][INFO] - Computed throughput reward (raw): 2.47
[2025-03-13 07:15:05,413][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,414][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,415][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,416][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,417][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,418][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,419][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,420][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,421][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,422][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,423][__main__][INFO] - Computed throughput reward (raw): 3.56
[2025-03-13 07:15:05,424][__main__][INFO] - Computed throughput reward (raw): 3.56
[2025-03-13 07:15:05,425][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,427][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,428][__main__][INFO] - Computed throughput reward (raw): 2.91
[2025-03-13 07:15:05,429][__main__][INFO] - Computed throughput reward (raw): 2.91
[2025-03-13 07:15:05,430][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,431][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,432][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,433][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,434][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,435][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,436][__main__][INFO] - Computed throughput reward (raw): 2.49
[2025-03-13 07:15:05,437][__main__][INFO] - Computed throughput reward (raw): 2.49
[2025-03-13 07:15:05,438][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,439][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,440][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,441][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,442][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,443][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,444][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,445][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,446][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,447][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,448][__main__][INFO] - Computed throughput reward (raw): 3.55
[2025-03-13 07:15:05,449][__main__][INFO] - Computed throughput reward (raw): 3.55
[2025-03-13 07:15:05,450][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,451][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,452][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,453][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,454][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,455][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,457][__main__][INFO] - Computed throughput reward (raw): 2.61
[2025-03-13 07:15:05,458][__main__][INFO] - Computed throughput reward (raw): 2.61
[2025-03-13 07:15:05,459][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,460][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,461][__main__][INFO] - Computed throughput reward (raw): 2.50
[2025-03-13 07:15:05,462][__main__][INFO] - Computed throughput reward (raw): 2.50
[2025-03-13 07:15:05,463][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,464][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,465][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,466][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,467][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,468][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,469][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,470][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,471][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,472][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,473][__main__][INFO] - Computed throughput reward (raw): 3.53
[2025-03-13 07:15:05,474][__main__][INFO] - Computed throughput reward (raw): 3.53
[2025-03-13 07:15:05,475][__main__][INFO] - Computed throughput reward (raw): 3.36
